ref_ID,Country,Ref,PubDate,Continent,MPA_name,MPA_size,MPA_size_cat,MPA_age,MPA_age_cat_2,MPA_age_cat,Multiple_Zones,MPA_ntake_01,MPA_notake,Ecosystem,Eco_simple,Study_design,Study_design_2,Stake_simple,Stakeholder,CPUE,Catch,Income
10,South Africa,"Bennett B.A., Attwood C.G. (1991) Evidence for recovery of a surf-zone fish assemblage following the establishment of a marine reserve on the southern coast of South Africa. Marine Ecology Progress Series 75, 173-181.",1991,Africa,De Hoop Marine Reserve,288.9,Large,5,<10 years,Young,N,Y,1,rocky reef,Temperate,BACI,BACI,Fisheries,Rfisheries,Increase,Increase,
12,Philippines,"Cabigas R.-B., Manzano L.-L., Nobukazu N. (2012) Success and failure of marine protected area management affecting the fish catch by adjacent fishermen in Sarangani Bay, Mindanao, Philippines. South Pacific study Kagoshima University Research Center for the South Pacific 33, 1-23.",2012,Asia,Glan Padidu Marine Sanctuary,0.1,Small,9,<10 years,Medium,N,Y,1,tropical - coral reef,Tropical,BA,BACI,Fisheries,Afisheries,Increase,Increase,
12,Philippines,"Cabigas R.-B., Manzano L.-L., Nobukazu N. (2012) Success and failure of marine protected area management affecting the fish catch by adjacent fishermen in Sarangani Bay, Mindanao, Philippines. South Pacific study Kagoshima University Research Center for the South Pacific 33, 1-23.",2012,Asia,Kapatan Marine Reserve,0.12,Small,9,<10 years,Medium,N,Y,1,tropical - coral reef,Tropical,BA,BACI,Fisheries,Afisheries,Increase,Increase,
12,Philippines,"Cabigas R.-B., Manzano L.-L., Nobukazu N. (2012) Success and failure of marine protected area management affecting the fish catch by adjacent fishermen in Sarangani Bay, Mindanao, Philippines. South Pacific study Kagoshima University Research Center for the South Pacific 33, 1-23.",2012,Asia,Kamanga Marine Ecotourism Park and Sanctuary,1.405,Medium,5,<10 years,Young,N,Y,1,tropical - coral reef,Tropical,BA,BACI,Fisheries,Afisheries,Increase,Increase,
12,Philippines,"Cabigas R.-B., Manzano L.-L., Nobukazu N. (2012) Success and failure of marine protected area management affecting the fish catch by adjacent fishermen in Sarangani Bay, Mindanao, Philippines. South Pacific study Kagoshima University Research Center for the South Pacific 33, 1-23.",2012,Asia,Tuka Marine Park,0.5331,Small,10,>10 years,Medium,N,Y,1,tropical - coral reef,Tropical,BA,BACI,Fisheries,Afisheries,Increase,Increase,
14,France,"Cadiou G., Boudouresque C.F., Bonhomme P., Le Direach L. (2009) The management of artisanal fishing within the Marine Protected Area of the Port-Cros National Park (northwest Mediterranean Sea): a success story? ICES Journal of Marine Science 66, 41-49.",2009,Europe,Port-Cros National Park,12.88,Medium,45,>10 years,Old,Y,Y,0.05,rocky reef,Temperate,O,BACI,Fisheries,Afisheries,Decrease,No change,
15,Indonesia,"Campbell S.J., Mukminin A., Kartawijaya T., Huchery C., Cinner J.E. (2014) Changes in a coral reef fishery along a gradient of fishing pressure in an Indonesian marine protected area. Aquatic Conservation-Marine and Freshwater Ecosystems 24, 92-103.",2014,Asia,Karimunjawa National Park,1116.25,Large,15,>10 years,Old,Y,Y,0.01,tropical - coral reef,Tropical,CI,BACI,Fisheries,Afisheries,,No change,
16,Chile,"Carcamo P., Gaymer C.F. (2013) Interactions Between Spatially Explicit Conservation and Management Measures: Implications for the Governance of Marine Protected Areas. Environmental Management 52, 1355-1368.",2013,South America,Islas Choros-Damas Marine Reserve,38.34,Medium,20,>10 years,Old,N,Y,1,temperate,Temperate,BA,BACI,Fisheries,Afisheries,Increase,,
18,Philippines,"Chaigneau T., Brown K. (2016) Challenging the win-win discourse on conservation and development: analyzing support for marine protected areas. Ecology and Society 21, 36.",2016,Asia,"Bonbonon, Candapino, Suba",0.086,Small,17,>10 years,Old,N,Y,1,tropical - coral reef,Tropical,P,Perception,Fisheries,Afisheries,,Decrease,Increase
18,Philippines,"Chaigneau T., Brown K. (2016) Challenging the win-win discourse on conservation and development: analyzing support for marine protected areas. Ecology and Society 21, 36.",2016,Asia,Candapino,0.204,Small,8,<10 years,Medium,N,Y,1,tropical - coral reef,Tropical,P,Perception,Fisheries,Afisheries,,Decrease,Increase
